a	44	2520
ab	2564	3464
ac	6028	4336
aciz	10364	6280
acý	16644	5479
ad	22123	3636
af	25759	2736
aft	28495	6111
ag	34606	3732
ah	38338	3184
aj	41522	4464
ajan	45986	6815
ak	52801	4080
aks	56881	6480
akt	63361	3986
al	67347	2960
alg	70307	5936
alt	76243	4056
am	80299	3616
ama	83915	3728
amb	87643	3702
amin	91345	10080
an	101425	3249
and	104674	3039
ang	107713	3250
ans	110963	2970
ant	113933	3373
ap	117306	3816
ar	121122	3469
arp	124591	5271
ars	129862	3328
arz	133190	5486
arzu	138676	6516
arþ	145192	6208
as	151400	3288
ask	154688	5368
asla	160056	6592
ast	166648	3912
at	170560	3864
av	174424	3404
ay	177828	2948
ayn	180776	5296
ayný	186072	5550
ays	191622	3919
az	195541	3544
aç	199085	4168
açý	203253	5838
açýk	209091	5575
að	214666	3872
aðaç	218538	8186
aðýr	226724	5792
aþ	232516	4520
aþk	237036	4912
aþýk	241948	7008
b	248956	2198
ba	251154	1928
baba	253082	5023
bah	258105	2845
baht	260950	6960
bak	267910	3289
bal	271199	3360
ban	274559	2783
bana	277342	5135
bank	282477	6702
bar	289179	3247
bart	292426	4347
bas	296773	3792
bat	300565	4144
bay	304709	2908
bazý	307617	7119
bað	314736	5008
baþ	319744	4323
be	324067	1959
bed	326026	3746
bek	329772	2529
bel	332301	4712
ben	337013	5176
ber	342189	4808
berg	346997	4910
bes	351907	5210
besk	357117	8346
best	365463	4816
bet	370279	5040
bey	375319	5140
beys	380459	4559
beç	385018	8080
beþ	393098	4767
bi	397865	2304
bib	400169	3013
bik	403182	5152
bil	408334	4224
bin	412558	4568
bir	417126	4912
bis	422038	4688
bit	426726	4670
biz	431396	3488
bize	434884	4884
blo	439768	3630
blu	443398	4194
blum	447592	7055
bluz	454647	7102
blöf	461749	5422
blû	467171	4194
blûm	471365	7055
blûz	478420	7102
bo	485522	2184
bod	487706	3681
boh	491387	4008
bok	495395	4602
boks	499997	7232
bol	507229	2704
bor	509933	4055
bord	513988	4640
borç	518628	5408
bot	524036	4503
boy	528539	3407
boyu	531946	5504
boþ	537450	4202
bra	541652	4995
brah	546647	4127
bran	550774	5792
brav	556566	5655
bre	562221	3991
bri	566212	4079
briç	570291	6573
bro	576864	4463
bron	581327	6816
brö	588143	4659
brü	592802	2779
brük	595581	3200
brýç	598781	4768
bu	603549	2456
buds	606005	4288
buk	610293	4000
bul	614293	2560
bun	616853	4125
buna	620978	5880
bur	626858	4109
burk	630967	4751
burs	635718	6592
burç	642310	6944
bus	649254	5456
but	654710	5536
buz	660246	3982
buð	664228	4768
bâl	668996	4389
bî	673385	5330
bö	678715	2948
böb	681663	4192
böl	685855	3741
bör	689596	5311
börk	694907	6943
bös	701850	4800
böy	706650	3852
bü	710502	2192
büfe	712694	7062
büg	719756	4832
büh	724588	4960
bün	729548	6151
bür	735699	4495
büt	740194	3056
büz	743250	4344
büð	747594	4880
bý	752474	2944
c	755418	1742
ca	757160	2460
cak	759620	4272
cal	763892	2368
cam	766260	5647
can	771907	4444
cat	776351	3613
ce	779964	3020
ceb	782984	4320
cek	787304	3552
cel	790856	4623
celp	795479	7372
cem	802851	5088
cemp	807939	6734
cen	814673	3830
cep	818503	5135
cer	823638	3456
cerh	827094	7167
cet	834261	3911
cev	838172	4805
cey	842977	3614
cez	846591	4478
ci	851069	2952
cid	854021	3434
cih	857455	2904
cil	860359	4352
cin	864711	4109
cip	868820	3472
cips	872292	6303
ciz	878595	3543
co	882138	3028
com	885166	4466
coz	889632	5120
coð	894752	2848
cu	897600	2380
cuk	899980	3040
cum	903020	4017
cun	907037	4896
cur	911933	4528
cus	916461	6559
cut	923020	3808
cuz	926828	3927
cî	930755	3293
cö	934048	3300
cön	937348	4957
cönk	942305	7566
cü	949871	2856
cüb	952727	5060
cüm	957787	4496
cür	962283	3857
cüz	966140	4414
cý	970554	2536
cýlk	973090	6944
cým	980034	3627
cýn	983661	3895
cýr	987556	3888
cýt	991444	2624
cýv	994068	3904
cýy	997972	2680
d	1000652	1236
da	1001888	3105
dab	1004993	3455
daha	1008448	4273
dak	1012721	4016
dal	1016737	4029
dam	1020766	4215
dan	1024981	3384
danç	1028365	8015
dar	1036380	3384
dat	1039764	5504
day	1045268	4208
dað	1049476	4029
daþ	1053505	4952
de	1058457	2100
dedi	1060557	6607
def	1067164	3744
dek	1070908	5743
del	1076651	3514
dem	1080165	3327
den	1083492	3984
der	1087476	4048
derm	1091524	5151
dern	1096675	5226
ders	1101901	6119
derz	1108020	6881
derç	1114901	7872
des	1122773	3068
dest	1125841	8032
det	1133873	4544
dev	1138417	2944
dey	1141361	3496
dez	1144857	3440
di	1148297	2056
dic	1150353	5129
dif	1155482	2952
dik	1158434	3976
dil	1162410	3872
din	1166282	5328
ding	1171610	4528
dink	1176138	8111
dip	1184249	3552
dir	1187801	3544
dis	1191345	3828
disk	1195173	3615
dist	1198788	5023
dit	1203811	4544
div	1208355	4448
diye	1212803	4016
